X,Y
-0.00669643,0.000585938
-0.02008929,0.001757812
0.01116071,-0.000976563
0.00446429,-0.000390625
-0.00446429,0.000390625
-0.01116071,0.000976563
0.00669643,-0.000585938
-0.06473215,0.005664063
-0.06919643,0.006054687
-0.08035714,0.00703125
-0.08705357,0.007617188
-0.03571429,0.003125
-0.09598215,0.008398438
-0.08705357,0.007617188
-0.10491071,0.009179687
-0.10044643,0.008789063
-0.12723213,0.011132812
-0.11607143,0.01015625
-0.11383928,0.009960937
-0.12276786,0.010742188
-0.00446429,0.000390625
-0.07142857,0.00625
-0.08928572,0.0078125
-0.09598215,0.008398438
-0.09375,0.008203125
-0.08816964,0.008203125
-0.08258929,0.007226563
-0.08147322,0.007226563
-0.08035714,0.00703125
0,0
-0.07366072,0.006445312
-0.08035714,0.006445312
-0.08705357,0.007617188
-0.05133929,0.004492187
-0.01116071,0.000976563
-0.01339286,0.000976563
-0.015625,0.001367187
-0.01785714,0.0015625
0.05133929,-0.004492187
0.015625,-0.001367187
0.02455357,-0.002148438
0.05803571,-0.005078125
0.06696428,-0.005859375
0.08258929,-0.007226563
0.06473215,-0.005664063
0.06696428,-0.005859375
0.078125,-0.006835938
0.08928572,-0.0078125
0.078125,-0.006835938
0.10267857,-0.008984375
0.08928572,-0.0078125
0.08258929,-0.007226563
0.15178572,-0.01328125
0.07589286,-0.006640625
0.08035714,-0.006640625
0.08482143,-0.007421875
0.07589286,-0.006640625
0.0625,-0.00546875
0.05803571,-0.005078125
0.05580357,-0.004882813
0.08258929,-0.007226563
0.01339286,-0.001171875
-0.00892857,0.00078125
-0.00669643,0.000585938
-0.03348214,0.002929688
-0.05133929,0.004492187
-0.09375,0.008203125
-0.05803571,0.005078125
-0.09151786,0.008007812
-0.05803571,0.008007812
-0.02455357,0.002148438
-0.125,0.0109375
-0.10491071,0.0109375
-0.08482143,0.007421875
-0.09375,0.008203125
-0.10937501,0.009570313
-0.10491071,0.009179687
-0.00892857,0.00078125
-0.08258929,0.007226563
-0.078125,0.006835938
-0.02678572,0.00234375
-0.02008929,0.001757812
-0.00223214,0.000195313
0.00892857,-0.00078125
0.08482143,-0.007421875
0.02901786,-0.002539062
0.02008929,-0.001757812
