X,Y
-2.05897164,0.159570307
-2.00100803,0.155078128
-1.98588717,0.153906256
-1.96824586,0.15253906
-1.90776205,0.147851557
-1.76411283,0.13671875
-1.74647188,0.135351568
-1.68094754,0.130273432
-1.63558471,0.126757815
-1.17943549,0.091406249
-1.15675402,0.08964844
-1.08618951,0.084179685
-1.06854844,0.082812503
-1.05090725,0.081445314
-1.04334676,0.080859378
-1.02066529,0.079101563
-0.99546373,0.077148438
-0.99042338,0.076757811
-0.96018142,0.07441406
-0.93245965,0.072265625
-0.92489922,0.071679689
-0.91481853,0.070898436
-0.90977818,0.07050781
-0.90725803,0.0703125
-0.8190524,0.063476563
-0.8190524,0.063476563
-0.81401205,0.063085936
-0.78881043,0.061132811
-0.7787298,0.060351562
-0.7787298,0.060351562
-0.67792338,0.052539062
-0.66532254,0.051562499
-0.66028225,0.051171876
-0.66028225,0.051171876
-0.64516127,0.050000001
-0.64264113,0.049804688
-0.63256049,0.049023438
-0.62752014,0.048632812
-0.625,0.048437499
-0.625,0.048437499
-0.61743951,0.047851563
-0.61491936,0.047656249
-0.61239916,0.047460936
-0.60483873,0.046875
-0.59979838,0.046484374
-0.57963711,0.044921875
-0.53175402,0.041210938
-0.53175402,0.041210938
-0.52419353,0.040624999
-0.51159275,0.039648436
-0.5090726,0.039453126
-0.5090726,0.039453126
-0.50403225,0.0390625
-0.50403225,0.0390625
-0.49143144,0.038085938
-0.48891127,0.037890624
-0.48387098,0.037500001
-0.48387098,0.037500001
-0.47883064,0.037109375
-0.47379029,0.036718749
-0.46622983,0.036132813
-0.45866936,0.035546876
-0.45866936,0.035546876
-0.45614919,0.035351563
-0.45362902,0.03515625
-0.45362902,0.03515625
-0.45362902,0.03515625
-0.45362902,0.03515625
-0.45362902,0.03515625
-0.4485887,0.034765624
-0.44102821,0.034179688
-0.43850806,0.033984374
-0.43850806,0.033984374
-0.43598789,0.033789061
-0.43598789,0.033789061
-0.43346775,0.033593751
-0.4309476,0.033398438
-0.42842743,0.033203125
-0.42842743,0.033203125
-0.41834679,0.032421876
-0.41330644,0.032031249
-0.41078627,0.031835936
-0.40826616,0.031640626
-0.40826616,0.031640626
-0.40826616,0.031640626
-0.39818549,0.030859375
-0.39314517,0.030468751
-0.39314517,0.030468751
-0.390625,0.030273438
-0.390625,0.030273438
-0.38810483,0.030078124
-0.38558468,0.029882813
-0.38306451,0.0296875
-0.38054436,0.029492188
-0.38054436,0.029492188
-0.37298387,0.02890625
-0.36794356,0.028515626
-0.36038306,0.027929688
-0.36038306,0.027929688
-0.36038306,0.027929688
-0.35786289,0.027734375
-0.35786289,0.027734375
-0.35282257,0.02734375
-0.35282257,0.02734375
-0.3503024,0.027148437
-0.3503024,0.027148437
-0.34778225,0.026953125
-0.34274194,0.026562501
-0.33770159,0.026171874
-0.33518144,0.025976563
-0.33518144,0.025976563
-0.33266127,0.02578125
-0.32510078,0.025195312
-0.32258064,0.025
-0.32258064,0.025
-0.32258064,0.025
-0.32258064,0.025
-0.32006046,0.024804687
-0.32006046,0.024804687
-0.31754032,0.024609376
-0.31502014,0.024414063
-0.31502014,0.024414063
-0.31502014,0.024414063
-0.3125,0.024218749
-0.3125,0.024218749
-0.30997986,0.024023438
-0.30997986,0.024023438
-0.30241936,0.0234375
-0.29737905,0.023046875
-0.29485887,0.022851562
-0.29485887,0.022851562
-0.28981856,0.022460938
-0.28981856,0.022460938
-0.28729838,0.022265624
-0.28477824,0.022070313
-0.28225806,0.021875
-0.28225806,0.021875
-0.28225806,0.021875
-0.27721775,0.021484375
-0.27469757,0.021289062
-0.27217743,0.02109375
-0.26965725,0.020898437
-0.26713711,0.020703126
-0.26713711,0.020703126
-0.26461694,0.020507813
-0.26461694,0.020507813
-0.26461694,0.020507813
-0.26461694,0.020507813
-0.26209676,0.020312499
-0.26209676,0.020312499
-0.25957662,0.020117188
-0.25957662,0.020117188
-0.25705644,0.019921875
-0.25705644,0.019921875
-0.25705644,0.019921875
-0.25201613,0.01953125
-0.25201613,0.01953125
-0.24697581,0.019140625
-0.24697581,0.019140625
-0.24697581,0.019140625
-0.24697581,0.019140625
-0.24445564,0.018945312
-0.24445564,0.018945312
-0.24193549,0.018750001
-0.23941532,0.018554688
-0.23941532,0.018554688
-0.23689514,0.018359374
-0.23689514,0.018359374
-0.23689514,0.018359374
-0.234375,0.018164063
-0.23185483,0.01796875
-0.23185483,0.01796875
-0.23185483,0.01796875
-0.22681451,0.017578125
-0.22681451,0.017578125
-0.22429435,0.017382812
-0.22177419,0.0171875
-0.22177419,0.0171875
-0.22177419,0.0171875
-0.21925403,0.016992187
-0.21925403,0.016992187
-0.21925403,0.016992187
-0.21673387,0.016796876
-0.21421371,0.016601563
-0.21421371,0.016601563
-0.2091734,0.016210938
-0.20665322,0.016015625
-0.20665322,0.016015625
-0.19909275,0.015429688
-0.19909275,0.015429688
-0.19909275,0.015429688
-0.19657259,0.015234375
-0.19657259,0.015234375
-0.19657259,0.015234375
-0.19657259,0.015234375
-0.19657259,0.015234375
-0.19405241,0.015039062
-0.19405241,0.015039062
-0.19405241,0.015039062
-0.19405241,0.015039062
-0.19153225,0.01484375
-0.18649194,0.014453125
-0.18649194,0.014453125
-0.18397178,0.014257813
-0.18397178,0.014257813
-0.1814516,0.0140625
-0.17893144,0.013867187
-0.17893144,0.013867187
-0.17893144,0.013867187
-0.17641129,0.013671875
-0.17641129,0.013671875
-0.17389113,0.013476563
-0.17389113,0.013476563
-0.17389113,0.013476563
-0.17137097,0.01328125
-0.17137097,0.01328125
-0.16885079,0.013085937
-0.16381048,0.012695313
-0.16381048,0.012695313
-0.16129032,0.0125
-0.16129032,0.0125
-0.15625,0.012109375
-0.15625,0.012109375
-0.15625,0.012109375
-0.15625,0.012109375
-0.15625,0.012109375
-0.15372984,0.011914062
-0.15372984,0.011914062
-0.15372984,0.011914062
-0.15372984,0.011914062
-0.15372984,0.011914062
-0.15120968,0.01171875
-0.15120968,0.01171875
-0.15120968,0.01171875
-0.14616936,0.011328125
-0.14616936,0.011328125
-0.14364919,0.011132812
-0.14112903,0.0109375
-0.14112903,0.0109375
-0.14112903,0.0109375
-0.14112903,0.0109375
-0.13860887,0.010742188
-0.13608871,0.010546875
-0.13356856,0.010351563
-0.13356856,0.010351563
-0.13104838,0.01015625
-0.12852822,0.009960937
-0.12600806,0.009765625
-0.1234879,0.009570313
-0.1234879,0.009570313
-0.12096775,0.009375
-0.12096775,0.009375
-0.12096775,0.009375
-0.12096775,0.009375
-0.12096775,0.009375
-0.11844757,0.009179687
-0.11844757,0.009179687
-0.11844757,0.009179687
-0.11592741,0.008984375
-0.11592741,0.008984375
-0.11592741,0.008984375
-0.11592741,0.008984375
-0.11592741,0.008984375
-0.11592741,0.008984375
-0.11592741,0.008984375
-0.11340725,0.008789063
-0.11340725,0.008789063
-0.11340725,0.008789063
-0.11340725,0.008789063
-0.11340725,0.008789063
-0.1108871,0.00859375
-0.1108871,0.00859375
-0.1108871,0.00859375
-0.1108871,0.00859375
-0.1108871,0.00859375
-0.10836694,0.008398438
-0.10332661,0.008007812
-0.10332661,0.008007812
-0.10332661,0.008007812
-0.10332661,0.008007812
-0.10332661,0.008007812
-0.10332661,0.008007812
-0.10080645,0.0078125
-0.10080645,0.0078125
-0.10080645,0.0078125
-0.10080645,0.0078125
-0.09828629,0.007617188
-0.09828629,0.007617188
-0.09828629,0.007617188
-0.09576613,0.007421875
-0.09576613,0.007421875
-0.09576613,0.007421875
-0.09576613,0.007421875
-0.09576613,0.007421875
-0.09576613,0.007421875
-0.09576613,0.007421875
-0.09324597,0.007226563
-0.09324597,0.007226563
-0.09324597,0.007226563
-0.09324597,0.007226563
-0.09324597,0.007226563
-0.09324597,0.007226563
-0.09324597,0.007226563
-0.09324597,0.007226563
-0.09324597,0.007226563
-0.0907258,0.00703125
-0.0907258,0.00703125
-0.0907258,0.00703125
-0.0907258,0.00703125
-0.0907258,0.00703125
-0.0907258,0.00703125
-0.0907258,0.00703125
-0.0907258,0.00703125
-0.0907258,0.00703125
-0.08820564,0.006835938
-0.08568548,0.006640625
-0.08568548,0.006640625
-0.08568548,0.006640625
-0.08568548,0.006640625
-0.08568548,0.006640625
-0.08316532,0.006445312
-0.08316532,0.006445312
-0.08316532,0.006445312
-0.08316532,0.006445312
-0.08316532,0.006445312
-0.08316532,0.006445312
-0.08064516,0.00625
-0.08064516,0.00625
-0.08064516,0.00625
-0.08064516,0.00625
-0.08064516,0.00625
-0.08064516,0.00625
-0.08064516,0.00625
-0.078125,0.006054687
-0.078125,0.006054687
-0.078125,0.006054687
-0.078125,0.006054687
-0.07560484,0.005859375
-0.07560484,0.005859375
-0.07560484,0.005859375
-0.07560484,0.005859375
-0.07560484,0.005859375
-0.07560484,0.005859375
-0.07560484,0.005859375
-0.07560484,0.005859375
-0.07560484,0.005859375
-0.07560484,0.005859375
-0.07560484,0.005859375
-0.07560484,0.005859375
-0.07560484,0.005859375
-0.07560484,0.005859375
-0.07560484,0.005859375
-0.07308468,0.005664063
-0.07308468,0.005664063
-0.07308468,0.005664063
-0.07308468,0.005664063
-0.07308468,0.005664063
-0.07308468,0.005664063
-0.07308468,0.005664063
-0.07308468,0.005664063
-0.07308468,0.005664063
-0.07308468,0.005664063
-0.07308468,0.005664063
-0.07308468,0.005664063
-0.07056452,0.00546875
-0.07056452,0.00546875
-0.07056452,0.00546875
-0.07056452,0.00546875
-0.07056452,0.00546875
-0.07056452,0.00546875
-0.07056452,0.00546875
-0.07056452,0.00546875
-0.07056452,0.00546875
-0.07056452,0.00546875
-0.07056452,0.00546875
-0.07056452,0.00546875
-0.06804436,0.005273438
-0.06804436,0.005273438
-0.06804436,0.005273438
-0.06804436,0.005273438
-0.06804436,0.005273438
-0.06804436,0.005273438
-0.06804436,0.005273438
-0.06804436,0.005273438
-0.06804436,0.005273438
-0.06804436,0.005273438
-0.06804436,0.005273438
-0.06804436,0.005273438
-0.06804436,0.005273438
-0.06804436,0.005273438
-0.06804436,0.005273438
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06552419,0.005078125
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06300403,0.004882813
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.06048387,0.0046875
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05796371,0.004492187
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05544355,0.004296875
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05292339,0.004101562
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.05040323,0.00390625
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
-0.04788306,0.003710937
