X,Y1,Y
14061.0279,-0.033897036,0.183644567
14385.15697,-0.189604834,0.181689925
13922.05629,0.012689695,0.180739176
13902.55338,-0.048654773,0.179129307
14676.88404,0.058239394,0.178687132
14322.27612,0.081556129,0.17841803
14716.22776,0.071629521,0.176797809
14118.4362,0.117914529,0.176511831
13913.05454,0.037055245,0.17455744
14659.33047,-0.159736441,0.17277679
13261.44692,-0.010958486,0.172723575
13153.0275,0.065329504,0.17253627
13574.53606,-0.012526021,0.17132125
14244.20017,0.105121963,0.171128334
13453.59667,-0.061022284,0.170748541
13733.04607,-0.117549905,0.17025278
13958.48668,-0.189221245,0.169436592
13394.06486,-0.147103225,0.168767776
13340.99786,-0.114591855,0.166987997
12635.0064,-0.090782555,0.166985481
12936.992,-0.060679748,0.166789659
14419.22828,-0.070014746,0.166370209
12707.82095,-0.058363712,0.165519988
12552.83662,-0.000697697,0.165123624
12456.09645,0.081505863,0.164257462
12900.99503,1.12E-01,0.164187615
12547.07328,-0.071515419,0.164027658
13090.25807,-7.90E-02,0.164004546
12415.61023,-0.067341618,0.162831801
13274.2836,0.030653588,0.162780692
14484.34397,-0.232818959,0.162269949
14461.11355,0.144196453,0.161459156
13967.01695,-0.179692233,0.160110519
14141.84795,-0.134270232,0.159992188
13941.00236,1.02E-01,0.159605996
11736.69999,-0.068508513,0.15950125
15040.33927,-0.140510952,0.158085763
12356.23292,0.044523602,0.158076743
12262.78668,0.103778099,0.157293033
12922.395,-0.094434534,0.156758854
12291.25923,-0.104855502,0.156478577
12702.69418,0.102461993,0.155763867
13108.62199,-0.04494682,0.155386303
11437.7886,0.061662217,0.155329482
13887.82874,0.066451928,0.155146124
10872.61926,-0.074410959,0.154775413
14280.10105,0.04767011,0.154612425
11155.44239,0.072046229,0.154536648
14075.42248,0.030327698,0.153788574
11138.82278,-4.22E-02,0.153438954
14277.43216,-0.098219452,0.153304717
10612.17846,-4.69E-02,0.153218456
11562.37049,0.091038064,0.153140658
13972.56917,-0.123925911,0.15303957
13350.83969,-0.094873011,0.152456862
11457.30527,0.010697796,0.152449809
11585.97326,0.057463884,0.152278122
12669.92898,-0.094183176,0.152231673
