X,Y_Ori,94_Loclizer_deviation/dot,Y_hou,Y1,Y
14561.84731,-0.012189617,-0.005,-0.014829218,0.009829218,0.009829218
14560.83148,-0.004516752,0.0025,-0.005494832,0.007994832,0.007994832
14559.74378,-0.002164598,0.005,-0.002633331,0.007633331,0.007633331
14556.0953,-0.021487787,-0.0176,-0.02614086,0.00854086,0.00854086
14554.90288,-0.017928057,-0.0126,-0.021810288,0.009210288,0.009210288
14552.89468,-0.003125257,0.0076,-0.003802016,0.011402016,0.011402016
14550.81332,-0.004115206,0.005,-0.005006333,0.010006333,0.010006333
14549.43017,-0.005945233,0.0025,-0.007232644,0.009732644,0.009732644
14547.10042,-0.016807443,-0.0126,-0.020447011,0.007847011,0.007847011
14546.49016,-0.002681188,0.0076,-0.003261786,0.010861786,0.010861786
14543.23205,-0.009640101,-0.0025,-0.011727617,0.009227617,0.009227617
14541.7708,-0.017452775,-0.0126,-0.021232086,0.008632086,0.008632086
14537.81684,-0.019734361,-0.0126,-0.024007738,0.011407738,0.011407738
14536.50666,-0.019467039,-0.0126,-0.023682529,0.011082529,0.011082529
14535.25786,-0.009107118,0,-0.011079219,0.011079219,0.011079219
14533.52836,-0.014424936,-0.005,-0.017548584,0.012548584,0.012548584
14532.07728,-0.003764978,0.0076,-0.004580265,0.012180265,0.012180265
14530.46919,-0.003990817,0.005,-0.004855009,0.009855009,0.009855009
14529.32851,-0.001839737,0.0076,-0.002238123,0.009838123,0.009838123
14528.11411,-0.018783899,-0.0126,-0.022851459,0.010251459,0.010251459
14527.02216,0.000854076,0.0126,0.001039022,0.011560978,0.011560978
14526.07042,0.001450217,0.0101,0.001764254,0.008335746,0.008335746
14525.17097,0.016421181,0.0302,0.019977106,0.010222894,0.010222894
14524.5755,-0.015947754,-0.0101,-0.019401161,0.009301161,0.009301161
14524.06275,-0.019214667,-0.0126,-0.023375507,0.010775507,0.010775507
14523.63811,-0.010599483,-0.0025,-0.012894748,0.010394748,0.010394748
14522.27682,-0.002467812,0.005,-0.003002204,0.008002204,0.008002204
14520.18421,-0.009728777,0,-0.011835495,0.011835495,0.011835495
14517.39855,-0.014870141,-0.0076,-0.018090196,0.010490196,0.010490196
